city,state,lat,lng
New York,NY,40.754846,-73.984099
Los Angeles,CA,34.047338,-118.253100
Chicago,IL,41.881976,-87.630900
Dallas,TX,32.780598,-96.799534
Houston,TX,29.757704,-95.364345
Washington,DC,38.902538,-77.036519
Philadelphia,PA,39.952332,-75.163640
Miami,FL,25.774164,-80.193595
Atlanta,GA,33.756234,-84.388530
Boston,MA,42.359229,-71.059673
San Francisco,CA,37.788855,-122.401944
Phoenix,AZ,33.448242,-112.073843
Riverside,CA,33.985126,-117.378506
Detroit,MI,42.335979,-83.050180
Seattle,WA,47.609732,-122.334699
Minneapolis,MN,44.976315,-93.270879
San Diego,CA,32.715696,-117.160185
Tampa,FL,27.948746,-82.457404
Denver,CO,39.746813,-104.991823
St. Louis,MO,38.627535,-90.191557
Baltimore,MD,39.290440,-76.613914
Charlotte,NC,35.226242,-80.841956
Orlando,FL,28.541301,-81.379036
San Antonio,TX,29.424298,-98.491566
Portland,OR,45.521448,-122.676077
Pittsburgh,PA,40.440748,-80.000380
Sacramento,CA,38.577006,-121.494921
Cincinnati,OH,39.102461,-84.513276
Las Vegas,NV,36.170249,-115.142892
Kansas City,MO,39.099952,-94.583213
Austin,TX,30.268081,-97.742795
Cleveland,OH,41.500546,-81.692005
Columbus,OH,39.962749,-82.996221
Indianapolis,IN,39.767088,-86.158101
San Jose,CA,37.335477,-121.892060
Nashville,TN,36.161771,-86.777802
Virginia Beach,VA,36.849065,-75.976552
Providence,RI,41.823150,-71.412308
Milwaukee,WI,43.038746,-87.906526
Jacksonville,FL,30.327756,-81.657498
Oklahoma City,OK,35.467616,-97.512804
Memphis,TN,35.142237,-90.052554
Raleigh,NC,35.778289,-78.639206
Louisville,KY,38.253070,-85.757157
Richmond,VA,37.536262,-77.433013
New Orleans,LA,29.954487,-90.074679
Hartford,CT,41.766395,-72.675969
Salt Lake City,UT,40.762839,-111.891096
Birmingham,AL,33.518002,-86.809947
Buffalo,NY,42.885977,-78.875468